Date,UserID,TripID,Event
2022-01-10 10:30:15,539,125,description
2022-01-10 10:31:08,1067,23,description
2022-01-10 10:31:54,1067,23,view_schedule
2022-01-10 10:32:17,1067,23,travellers_sharing
2022-01-10 10:32:17,539,125,detail_plan
2022-01-10 10:33:40,539,125,view_schedule
2022-01-10 10:36:12,539,125,travellers_sharing
2022-01-10 10:38:16,149,73,description
2022-01-10 10:40:08,149,73,detail_plan
2022-01-10 10:40:25,149,73,view_schedule
2022-01-10 10:40:50,149,73,travellers_sharing
2022-01-10 11:06:20,117,139,description
2022-01-10 11:07:06,117,139,view_schedule
2022-01-10 11:09:32,117,139,travellers_sharing
2022-01-10 11:22:41,698,163,description
2022-01-10 11:25:18,698,163,detail_plan
2022-01-10 11:26:01,698,163,view_schedule
2022-01-10 11:28:46,698,163,travellers_sharing
2022-01-10 12:13:30,384,170,description
2022-01-10 12:14:29,384,170,view_schedule
2022-01-10 12:16:48,384,170,travellers_sharing
2022-01-10 12:21:53,1051,284,description
2022-01-10 12:23:45,1051,284,view_schedule
2022-01-10 12:24:32,1051,284,travellers_sharing
2022-01-10 14:06:07,924,51,description
2022-01-10 14:09:00,924,51,detail_plan
2022-01-10 14:10:54,924,51,view_schedule
2022-01-10 14:12:25,924,51,travellers_sharing
2022-01-10 14:27:29,1167,237,description
2022-01-10 14:29:59,1167,237,view_schedule
2022-01-10 14:30:05,1167,237,travellers_sharing
2022-01-10 15:26:54,721,23,description
2022-01-10 15:28:25,721,23,detail_plan
2022-01-10 15:29:10,721,23,view_schedule
2022-01-10 15:30:39,721,23,travellers_sharing
2022-01-10 15:31:07,220,211,description
2022-01-10 15:33:40,220,211,detail_plan
2022-01-10 15:35:59,220,211,view_schedule
2022-01-10 15:36:26,220,211,travellers_sharing
2022-01-10 15:53:54,592,159,description
2022-01-10 15:54:20,592,159,detail_plan
2022-01-10 15:56:30,592,159,view_schedule
2022-01-10 15:58:32,592,159,travellers_sharing
2022-01-10 16:07:28,283,196,description
2022-01-10 16:08:42,122,135,description
2022-01-10 16:10:16,283,196,detail_plan
2022-01-10 16:10:48,283,196,view_schedule
2022-01-10 16:11:01,122,135,detail_plan
2022-01-10 16:13:59,122,135,view_schedule
2022-01-10 16:16:38,122,135,travellers_sharing
2022-01-10 16:37:23,1090,103,description
2022-01-10 16:37:40,1090,103,detail_plan
2022-01-10 16:38:52,1090,103,view_schedule
2022-01-10 16:41:02,1090,103,travellers_sharing
2022-01-10 16:43:56,1069,263,description
2022-01-10 16:45:56,1069,263,detail_plan
2022-01-10 16:47:25,1069,263,view_schedule
2022-01-10 16:49:48,1069,263,travellers_sharing
2022-01-10 18:20:30,459,16,description
2022-01-10 18:22:55,459,16,detail_plan
2022-01-10 18:25:45,459,16,view_schedule
2022-01-10 18:26:30,459,16,travellers_sharing
2022-01-10 18:32:42,125,107,description
2022-01-10 18:33:11,125,107,detail_plan
2022-01-10 18:43:52,231,281,description
2022-01-10 18:45:04,231,281,detail_plan
2022-01-10 18:45:57,231,281,travellers_sharing
2022-01-10 19:09:18,775,64,description
2022-01-10 19:10:53,775,64,detail_plan
